work_ID,work_species,work_author,trait_value_3.3.1,trait_value_3.3.2,trait_value_3.6.1,trait_value_3.6.2,trait_value_3.6.3,agreement_3.3.1,agreement_3.3.2,agreement_3.6.1,agreement_3.6.2,agreement_3.6.3,n_3.3.1,n_3.3.2,n_3.6.1,n_3.6.2,n_3.6.3,references_3.3.1,references_3.3.2,references_3.6.1,references_3.6.2,references_3.6.3
17635,Eulobus californicus,Nutt.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17647,Eulophia pulchra,(Thouars) Lindl.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
17661,Euonymus europaeus,L.,zoochorous,endozoochorous,biotic,insect,insect,1,0.667,1,1,1,3,3,2,2,1,"101,971,025,510,313","1,031,310,328","1,031,310,315","1,031,310,315",10315
17669,Euonymus japonicus,Thunb.,zoochorous,endozoochorous,biotic,insect,insect,1,1,1,1,1,1,1,2,1,1,10328,10328,"1,019,910,328",10328,10199
17670,Euonymus latifolius,(L.) Mill.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17676,Euonymus nitidus,Benth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17690,Eupatorium cannabinum,L.,anemochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,2,1,1,10255,NA,"1,031,310,315",10313,10315
17733,Euphorbia atoto,G.Forst.,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10599,NA,NA,NA,NA
17736,Euphorbia azorica,Hochst.,autochorous,autochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
17749,Euphorbia boophthona,C.A.Gardner,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17764,Euphorbia chamaesyce,L.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17766,Euphorbia characias,L.,unspecialized,NA,biotic,insect,NA,0.667,NA,1,1,NA,3,NA,1,1,NA,"1,019,110,328",NA,10328,10328,NA
17769,Euphorbia corallioides,L.,unspecialized,anthropochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17771,Euphorbia cotinifolia,L.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17788,Euphorbia drummondii,Boiss.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17796,Euphorbia esula,L.,autochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,2,2,1,10191,NA,"1,031,310,315","1,031,310,315",10315
17811,Euphorbia glauca,G.Forst.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
17812,Euphorbia graminea,Jacq.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
17825,Euphorbia helioscopia,L.,unspecialized,NA,biotic,insect,fly,1,NA,1,1,1,2,NA,4,3,1,"1,024,710,328",NA,"10,247,103,131,031,500,000","102,471,031,310,328",10315
17836,Euphorbia hyberna,L.,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17874,Euphorbia mellifera,Aiton,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17877,Euphorbia mesembryanthemifolia,Jacq.,hydrochorous,hydrochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,272,272,NA,NA,NA
17889,Euphorbia myrsinites,L.,unspecialized,anthropochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17907,Euphorbia paralias,L.,hydrochorous,NA,biotic,insect,fly,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10315,10315,10315
17913,Euphorbia peplus,L.,unspecialized,NA,biotic,insect,fly,1,NA,1,1,1,2,NA,4,3,1,"1,024,710,328",NA,"10,247,103,131,031,500,000","102,471,031,310,328",10315
17920,Euphorbia platyphyllos,L.,unspecialized,NA,biotic,insect,fly,1,NA,1,1,1,1,NA,3,2,1,10328,NA,"103,131,031,510,328","1,031,310,328",10315
17925,Euphorbia portlandica,L.,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17927,Euphorbia prostrata,Aiton,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10247,NA,10247,10247,NA
17949,Euphorbia serpens,Kunth,zoochorous,epizoochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
17964,Euphorbia stygiana,H.C.Watson,autochorous,autochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
17973,Euphorbia tirucalli,L.,autochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10175,NA,NA,NA,NA
17994,Euphrasia antarctica,Benth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10322,NA,NA,NA,NA
17995,Euphrasia arctica,Lange ex Rostrup,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
17996,Euphrasia australis,Perrie,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
17997,Euphrasia azorica,H.C.Watson,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18007,Euphrasia disperma,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18013,Euphrasia frigida,Pugsley,hydrochorous,hydrochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
18016,Euphrasia grandiflora,Hochst.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18024,Euphrasia micrantha,Rchb.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10313,10313,10313,10313,NA
18028,Euphrasia nemorosa,(Pers.) Wallr.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10313,10313,10313,10313,NA
18035,Euphrasia repens,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18036,Euphrasia revoluta,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18040,Euphrasia salisburgensis,Funck ex Hoppe,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10291,10291,NA,NA,NA
18047,Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,anemochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,2,2,NA,10313,NA,"1,031,310,315","1,031,310,315",NA
18055,Euphrasia zelandica,Wettst.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18076,Eurya acuminata,DC.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18096,Eurya nitida,Korth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18134,Eustachys petraea,(Sw.) Desv.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,272,272,NA,NA,NA
18141,Euterpe edulis,Mart.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18142,Euterpe oleracea,Mart.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18143,Euterpe precatoria,Mart.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18144,Euthamia graminifolia,(L.) Nutt.,anemochorous,anemochorous,biotic,insect,NA,1,0.667,1,1,NA,1,2,1,1,NA,10191,"1,019,110,313",10313,10313,NA
18155,Evolvulus alsinoides,(L.) L.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18185,Excoecaria agallocha,L.,hydrochorous,hydrochorous,NA,NA,NA,1,0.667,NA,NA,NA,2,2,NA,NA,NA,"1,025,510,599","1,059,910,349",NA,NA,NA
18194,Exocarpos cupressiformis,Labill.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18220,Exostema caribaeum,(Jacq.) Schult.,autochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10259,NA,NA,NA,NA
18247,Exothea paniculata,(Juss.) Radlk.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10192,NA,NA,NA,NA
18248,Facelis retusa,Sch.Bip.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18267,Fagopyrum esculentum,Moench,unspecialized,anthropochorous,biotic,insect,bee,1,1,1,1,0.75,2,2,3,1,2,"1,019,110,313","1,019,110,313","101,991,031,310,315",10313,"1,031,510,199"
18269,Fagopyrum tataricum,(L.) Gaertn.,unspecialized,anthropochorous,biotic,insect,insect,1,0.75,1,1,1,1,2,2,2,1,10313,"1,031,310,191","1,031,310,315","1,031,310,315",10315
18281,Fagus grandifolia,Ehrh.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
18290,Fallopia aubertii,(L.Henry) Holub,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18292,Fallopia convolvulus,(L.) Á.Löve,zoochorous,NA,biotic,insect,insect,0.667,NA,1,0.833,1,3,NA,2,3,1,"1,024,710,313",NA,"1,024,710,315","102,471,031,510,313",10315
18293,Fallopia dumetorum,(L.) Holub,zoochorous,NA,biotic,NA,insect,1,NA,1,NA,1,1,NA,1,NA,1,10313,NA,10315,NA,10315
18300,Faramea occidentalis,(L.) A.Rich.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,710,255",NA,NA,NA,NA
18310,Farsetia stylosa,R.Br.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18315,Fatsia japonica,(Thunb.) Decne. & Planch.,zoochorous,endozoochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18328,Felicia fruticosa,(L.) G.Nicholson,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18339,Ferula communis,L.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18353,Festuca arundinacea,Lilj.,unspecialized,NA,abiotic,wind,NA,1,NA,1,1,NA,1,NA,1,1,NA,10247,NA,10247,10247,NA
18358,Festuca brachyphylla,Schult. & Schult.f.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10242,10242,NA,NA,NA
18369,Festuca extremiorientalis,Ohwi,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10242,10242,NA,NA,NA
18382,Festuca lemanii,T.Bastard,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
18383,Festuca lenensis,Drobow,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10242,10242,NA,NA,NA
18395,Festuca ovina,L.,anemochorous,NA,abiotic,wind,NA,1,NA,1,1,NA,1,NA,2,2,NA,10242,NA,"1,031,310,328","1,031,310,328",NA
18397,Festuca petraea,Guthnick ex Seub.,zoochorous,epizoochorous,abiotic,wind,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18400,Festuca pratensis,Huds.,anemochorous,NA,abiotic,wind,NA,1,NA,1,1,NA,1,NA,2,2,NA,10247,NA,"1,024,710,313","1,024,710,313",NA
18402,Festuca rubra,L.,anemochorous,NA,abiotic,wind,NA,0.667,NA,1,1,NA,3,NA,2,2,NA,"1,024,210,291",NA,"1,031,310,328","1,031,310,328",NA
18424,Ficus altissima,Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18425,Ficus americana,Aubl.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18427,Ficus annulata,Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18432,Ficus aurea,Nutt.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,3,NA,1,1,1,"101,921,019,710,255",NA,10199,10199,10199
18436,Ficus barclayana,(Miq.) Miq.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10599,10599,NA,NA,NA
18441,Ficus benjamina,L.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,1,1,1,"1,019,710,255",NA,10199,10199,10199
18446,Ficus bracteata,(Miq.) Wall. ex Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18448,Ficus carica,L.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,4,2,2,"1,019,710,255",NA,"10,199,102,471,031,500,000","1,024,710,328","1,019,910,315"
18450,Ficus caulocarpa,(Miq.) Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18454,Ficus citrifolia,Mill.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10192,NA,10199,10199,10199
18457,Ficus consociata,Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18461,Ficus cotinifolia,Kunth,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,1,1,1,"1,025,910,197",NA,10199,10199,10199
18462,Ficus crassinervia,Desf. ex Willd.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18466,Ficus crocata,(Miq.) Mart. ex Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18468,Ficus delosyce,Corner,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18471,Ficus destruens,F.Muell. ex C.T.White,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18473,Ficus drupacea,Thunb.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18474,Ficus dubia,Wall. ex King,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18479,Ficus exasperata,Vahl,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18481,Ficus fistulosa,Reinw. ex Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18489,Ficus glandulifera,(Wall. ex Miq.) King,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18500,Ficus heteropleura,Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18503,Ficus hispida,L.f.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18506,Ficus insipida,Willd.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,1,1,1,"1,019,710,255",NA,10199,10199,10199
18508,Ficus kerkhovenii,Koord. & Valeton,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18516,Ficus lingua,Warb. ex De Wild. & T.Durand,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18519,Ficus lutea,Vahl,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18526,Ficus maxima,Mill.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18528,Ficus microcarpa,L.f.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18534,Ficus natalensis,Hochst.,zoochorous,endozoochorous,biotic,insect,insect,1,1,1,1,1,2,1,1,1,1,"1,017,510,197",10175,10199,10199,10199
18539,Ficus nymphaeifolia,Mill.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18540,Ficus obliqua,G.Forst.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18549,Ficus pellucidopunctata,Griff.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18550,Ficus pertusa,L.f.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18552,Ficus pisocarpa,Blume,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18556,Ficus prolixa,G.Forst.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10599,NA,10199,10199,10199
18560,Ficus pumila,L.,unspecialized,anthropochorous,biotic,insect,insect,1,1,1,1,1,1,1,2,2,1,10247,10247,"1,019,910,247","1,019,910,247",10199
18568,Ficus rubiginosa,Desf. ex Vent.,zoochorous,endozoochorous,biotic,insect,insect,1,1,1,1,1,1,1,2,2,1,10328,10328,"1,019,910,328","1,019,910,328",10199
18573,Ficus sagittata,Vahl,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18579,Ficus simplicissima,Lour.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
18580,Ficus sinuata,Thunb.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18585,Ficus stricta,(Miq.) Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18588,Ficus subulata,Blume,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,710,255",NA,NA,NA,NA
18589,Ficus sundaica,Blume,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18590,Ficus superba,(Miq.) Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18591,Ficus sur,Forssk.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18592,Ficus sycomorus,L.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18594,Ficus thonningii,Blume,zoochorous,endozoochorous,biotic,insect,insect,1,1,1,1,1,3,1,1,1,1,"101,751,019,710,255",10175,10199,10199,10199
18597,Ficus tinctoria,G.Forst.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10599,NA,10199,10199,10199
18598,Ficus trichocarpa,Blume,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
18603,Ficus variegata,Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,1,1,1,"1,019,710,255",NA,10199,10199,10199
18604,Ficus variolosa,Lindl. ex Benth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18607,Ficus velutina,Humb. & Bonpl. ex Willd.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18611,Ficus virens,Aiton,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18613,Ficus vitiensis,Seem.,zoochorous,zoochorous,biotic,insect,insect,1,1,1,1,1,1,1,1,1,1,10599,10599,10199,10199,10199
18630,Filago germanica,(L.) Huds.,anemochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,2,1,1,10291,NA,"1,031,310,315",10313,10315
18656,Fimbristylis cymosa,R.Br.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,272,NA,NA,NA,NA
18705,Firmiana malayana,Kosterm.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18738,Flacourtia rukam,Zoll. & Moritzi,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10349,NA,NA,NA,NA
18758,Flindersia brayleyana,F.Muell.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18771,Flueggea virosa,(Roxb. ex Willd.) Royle,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10255,NA,10199,10199,NA
18783,Forchhammeria trifoliata,Radlk. ex Millsp.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10259,NA,NA,NA,NA
18790,Forestiera segregata,(Jacq.) Krug & Urb.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10192,NA,NA,NA,NA
18801,Forstera tenella,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
18819,Fragaria vesca,L.,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,2,NA,3,2,NA,"1,019,710,255",NA,"102,471,031,310,315","1,024,710,313",NA
18823,Frangula alnus,Mill.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,4,NA,2,2,1,"10,256,101,971,025,500,000",NA,"1,031,310,315","1,031,310,315",10315
18824,Frangula azorica,Grubov,zoochorous,endozoochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18825,Frangula californica,(Eschsch.) A.Gray,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
18829,Frangula purshiana,(DC.) A.Gray ex J.G.Cooper,zoochorous,endozoochorous,NA,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,NA,"101,921,019,710,328",10328,NA,NA,NA
18839,Frankenia pulverulenta,L.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18843,Fraxinus americana,L.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
18845,Fraxinus caroliniana,Mill.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
18847,Fraxinus excelsior,L.,anemochorous,NA,abiotic,wind,wind,1,NA,1,1,1,2,NA,2,1,1,"1,025,510,291",NA,"1,031,310,315",10313,10315
18852,Fraxinus ornus,L.,anemochorous,anemochorous,biotic,insect,NA,1,0.778,1,1,NA,1,3,1,1,NA,10255,"103,131,032,810,191",10313,10313,NA
18854,Fraxinus uhdei,(Wenz.) Lingelsh.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18858,Freesia refracta,(Jacq.) Klatt,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18862,Freycinetia baueriana,Endl.,zoochorous,endozoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18896,Freycinetia urvilleana,Hombr. & Jacquinot ex Decne.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10349,NA,NA,NA,NA
18904,Fridericia chica,(Bonpl.) L.G.Lohmann,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18906,Fridericia podopogon,(DC.) L.G.Lohmann,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10259,NA,NA,NA,NA
18914,Fritillaria meleagris,L.,autochorous,autochorous,biotic,insect,bee,1,0.667,1,1,1,1,2,2,1,1,10313,"1,031,310,191","1,031,310,315",10313,10315
18923,Fuchsia arborescens,Sims,zoochorous,NA,biotic,bird,bird,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
18924,Fuchsia boliviana,Carrière,unspecialized,anthropochorous,biotic,bird,NA,1,1,1,1,NA,1,1,2,1,NA,10247,10247,"1,019,910,247",10247,NA
18928,Fuchsia excorticata,(J.R.Forst. & G.Forst.) L.f.,zoochorous,endozoochorous,biotic,NA,NA,1,1,1,NA,NA,2,1,1,NA,NA,"1,032,210,328",10328,10328,NA,NA
18930,Fuchsia magellanica,Lam.,unspecialized,anthropochorous,biotic,bird,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
18932,Fuchsia perscandens,Cockayne & Allan,zoochorous,endozoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
18949,Fumana arabica,(L.) Spach,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10291,10291,NA,NA,NA
18956,Fumana procumbens,(Dunal) Gren. & Godr.,anemochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10313,NA,10313,10313,NA
18958,Fumana thymifolia,(L.) Webb,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10291,10291,NA,NA,NA
