latin,myc
Alnus_incana_subtenuifolia,EM
Alnus_japonica,EM
Alnus_mandshurica_,EM
Alnus_maritima,EM
Alnus_matsumurae,EM
Alnus_maximowiczii,EM
Alnus_oblongifolia,EM
Alnus_orientalis,EM
Alnus_pendula,EM
Alnus_rhombifolia,EM
Alnus_sieboldiana,EM
Alnus_subcordata,EM
Alnus_viridis,EM
Alocasia_longiloba,AM
Aloe_arborescens,AM
Alopecurus_arundinaceus,AM
Alopecurus_geniculatus,AM
Alopecurus_myosuroides,AM
Alopecurus_ponticus,AM
Alopecurus_pratensis,AM
Alopecurus_vaginatus,AM
Aloysia_gratissima,AM
Alphitonia_excelsa,AM
Alpinia,AM
Alpinia_calcarata,AM
Alpinia_chinensis,NM
Alpinia_conchigera,AM
Alpinia_japonica,AM
Alpinia_malaccensis,AM
Alpinia_nigra,AM
Alpinia_purpurata,AM
Alpinia_smithiae,AM
Alpinia_vittata,AM
Alpinia_zerumbet,AM
Alseodaphne,AM
Alseodaphne_,AM
Alseodaphne_insignis,NM
Alsophila_erinacea,AM
Alsophila_firma,AM
Alsophila_paucifolia,AM
Alstonia_boonei,AM
Alstonia_macrophylla,AM
Alstonia_rostrata,AM
Alstonia_scholaris,AM
Alstonia_venenata,NM
Alstroemeria_aurea,AM
Alternanthera,NM
Alternanthera_brasiliana,AM
Alternanthera_ficoidea,NM
Alternanthera_paronychioides,AM
Alternanthera_pungens,AM
Alternanthera_spinosa,NM
Althaea_officinalis,AM
Altingia_excelsa,AM
Alysicarpus_glumaceus,AM
Alysicarpus_monilifer,AM
Alysicarpus_rugosus,NA
Alysicarpus_vaginalis,AM
Alyssoides_utriculata,NM
Alyssum_alyssoides,NM
Alyssum_condensatum,NM
Alyssum_contemptum,NM
Alyssum_dasycarpum,NM
Alyssum_dasycarpum.,NM
Alyssum_desertorum,NM
Alyssum_heterotrichum,NM
Alyssum_linifolium,NM
Alyssum_meniocoides,NM
Alyssum_minutum,NM
Alyssum_murale,AM
Alyssum_obovatum,NM
Alyssum_serpyllifolium,NM
Alyssum_simplex,NM
Alyssum_strictum,AM
Alyssum_strigosum,NM
Alyssum_szovitsianum,NM
Alyssum_tortuosum,NM
Alyssum_turkestanicum,NM
Alyxia_ilicifolia,NM
Alyxia_ruscifolia,AM
Alyxia_spicata,NM
Alyxia_stellata,AM
Alzatea_verticillata,AM
Amaioua_guianensis,AM
Amana_edulis,AM
Amanoa_strobilacea,AM
Amaranthus,NM
Amaranthus_blitum,AM
Amaranthus_cruentus,AM
Amaranthus_deflexus,NM
Amaranthus_hybridus,AM
Amaranthus_powellii,NM
Amaranthus_retroflexus,NM
Amaranthus_tricolor,NA
Amaryllis_belladonna,AM
Amasonia_campestris,AM
Amblyopetalum_coccineum,AM
Ambrosia_artemisiifolia,AM
Ambrosia_deltoidea,AM
Ambrosia_dumosa,AM
Ambrosia_salsola,AM
Ambrosia_trifida,AM
Ambulia_sessiliflora,NM
Amburana_cearensis,AM
Amelanchier_alnifolia_var._semi-integrifolia,AM
Amelanchier_asiatica,AM
Amelanchier_ovalis,AM
Amelanchier_sanguinea,AM
Amelanchier_spicata,AM
Amelanchier_utahensis,AM
Amethystea_caerulea,AM
Amischotolype_hispida,AM
Ammannia_auriculata,AM
Ammannia_lanceolata,AM
Ammannia_multiflora,AM
Ammannia_octandra,NA
Ammannia_robusta,AM
Ammobium_alatum,AM
Ammodendron_bifolium,AM
Ammophila_breviligulata,AM
Ammopiptanthus_mongolicus,AM
Amomum_aculeatum,AM
Amomum_cannicarpum,AM
Amomum_hypoleucum,AM
Amomum_muricatum,AM
Amomum_petaloideum,AM
Amomum_pterocarpum,AM
Amomum_subulatum,AM
Amomum_villosum,AM
Amomyrtus_luma,EM
Amoora_rohituka,AM
Amorpha_canescens,AM
Amorpha_crenulata,AM
Amorpha_fruticosa,AM
Amorphophallus,AM
Amorphophallus_commutatus,AM
Amorphophallus_kachinensis,AM
Amorphophallus_paeoniifolius,AM
Ampelocera_edentula,AM
Ampelocissus_acetosa,AM
Ampelodesmos_mauritanicus,AM
Ampelopsis_glandulosa_var._brevipedunculata,AM
Ampelopsis_glandulosa_var._heterophylla,AM
Ampelopteris_prolifera,AM
Ampelygonum_umbellatum,NM
Amperea_xiphoclada,EM
Amphicarpaea_bracteata,AM
Amphilophium_mansoanum,AM
Amphimas_ferrugineus,AM
Amphimas_pterocarpoides,AM
Amphirrhox_longifolia,AM
Amphithalea_ericaefolia,AM
Amsonia_tabernaemontana,AM
Anabasis_aphylla,NM
Anabasis_salsa,NM
Anacamptis_morio,ORC
Anacamptis_palustris,ORC
Anacamptis_pyramidalis,ORC
Anacardium_excelsum,AM
Anacardium_humile,AM
Anacardium_occidentale,AM
Anacolosa,AM
Anadelphia_leptocoma,AM
Anadenanthera_colubrina,AM
Anadenanthera_colubrina_var._cebil,AM
Anadenanthera_peregrina,AM
Anadenanthera_peregrina_var._falcata,AM
Anagallis_arvensis,AM
Anagallis_tenella,AM
Anaphalioides_trinervis,AM
Anaphalis,AM
Anaphalis_neelgerryana,AM
Anaphalis_subdecurrens,AM
Anarthropteris_lanceolata,AM
Anastatica_hierochuntica,NM
Anchonium_elichrysifolium,AM
Anchusa_,AM
Anchusa_arvensis,AM
Anchusa_azurea,AM
Anchusa_humilis,AM
Anchusa_officinalis,AM
Andira_coriacea,AM
Andira_inermis,AM
Andrographis_laxiflora,AM
Andromeda_elliptica,AM
Andropogon_gerardii,AM
Andropogon_hallii,AM
Andropogon_pumilus,NA
Andropogon_virginicus,AM
Andropogon_yunnanensis,AM
Androsace_albana,AM
Androsace_alpina,AM
Androsace_caduca,NM
Androsace_foliosa,AM
Androsace_lehmanniana,AM
Androsace_montana,AM
Androsace_mucronifolia,AM
Androsace_obtusifolia,AM
Androsace_rotundifolia,AM
Androsace_villosa_var._incana,AM
Androstoma_empetrifolia,EM
Anelsonia_eurycarpa,NM
Anemia_phyllitidis,AM
Anemia_tomentosa,AM
Anemocarpa_podolepidium,AM
Anemone_alpina,AM
Anemone_alpina_subapiifolia,AM
Anemone_altaica,AM
Anemone_flavescens,AM
Anemone_hepatica_var._acuta,AM
Anemone_multifida,AM
Anemone_narcissiflora,AM
Anemone_narcissiflora_subfasciculata,AM
Anemone_narcissiflora_subprotracta,AM
Anemone_nemorosa,AM
Anemone_patens,AM
Anemone_patens_submultifida,AM
Anemone_pratensis,AM
Anemone_ranunculoides,AM
Anemone_rivularis,NM
Anemone_scabiosa,AM
Anemone_sylvestris,AM
Anemone_virginiana,AM
Anemonella_thalictroides,AM
Angelica_ampla,NM
Angelica_archangelica,AM
Angelica_longeradiata,AM
Angelica_multisecta,AM
Angelica_sylvestris,AM
Angianthus_,AM
Angianthus_drummondii,EM
Angianthus_micropodioides,EM
Angianthus_milnei,EM
Angiopteris_caudatiformis,AM
Angiopteris_evecta,AM
Angiopteris_hokouensis,AM
Angiopteris_suboppositifolia,AM
Angiopteris_wangii,AM
Angiopteris_yunnanensis,AM
Angophora_costata,EM
Angophora_floribunda,EM
Angophora_hispida,EM
Angylocalyx_oligophyllus,EM
Angylocalyx_pynaertii,EM
Aniba_,AM
Aniba_citrifolia,AM
Aniba_rosaeodora,AM
Anigozanthos_manglesii,NM
Anisocampium_cuspidatum,AM
Anisocampium_niponicum,AM
Anisocampium_sheareri,AM
Anisochilus_suffruticosus,AM
Anisomeles_indica,AM
Anisomeles_malabarica,AM
Anisomeles_salviifolia,AM
Anisophyllea_cinnamomoides,AM
Anisoptera,EM
Anisoptera_laevis,EM
Anisoptera_marginata,AM
Anneslea_fragrans,AM
Annesorhiza_nuda,AM
Annickia_chlorantha,AM
Annona_cherimola,AM
Annona_coriacea,AM
Annona_crassiflora,AM
Annona_glabra,NM
Annona_montana,AM
Annona_reticulata,AM
Annona_squamosa,AM
Annona_symphyocarpa,AM
Anodendron_affine,AM
Anoectochilus_burmannicus,ORC
Anoectochilus_roxburghii,ORC
Anogeissus_acuminata,AM
Anogeissus_latifolia,AM
Anogeissus_leiocarpa,AM
Anogramma_leptophylla,NM
Anredera_baselloides,AM
Antennaria_canescens,AM
Antennaria_caucasica,AM
Antennaria_dioica,AM
Antennaria_lanata,AM
Antennaria_neglecta,AM
Antennaria_umbrinella,NM
Antenoron_filiforme_var._filiforme,NM
Anthemis_arvensis,AM
Anthemis_cotula,NM
Anthemis_cretica,AM
Anthemis_cretica_subiberica,NM
Anthemis_marschalliana,AM
Anthemis_marschalliana_subsosnovskyana,AM
Anthemis_ruthenica,AM
Anthocercis_littorea,NM
Anthoceros_,AM
Anthoceros_agrestis,AM
Anthoceros_fusiformis,AM
Anthoceros_lamellatus,AM
Anthoceros_laminiferus,AM
Anthoceros_punctatus,AM
Anthocleista_longifolia,AM
Anthocleista_schweinfurthii,AM
Anthocleista_vogelii,AM
Anthonotha,EM
Anthonotha_,EM
Anthonotha_cladantha,EM
Anthonotha_crassifolia,EM
Anthonotha_lamprophylla,EM
Anthonotha_macrophylla,EM
Anthospermum_aethiopicum,AM
Anthriscus_ruprechtii,AM
Anthriscus_silvestris,AM
Anthurium,NM
Anthurium_affine,AM
Anthurium_consobrinum,NM
Anthurium_obtusum,NM
Anthurium_pentaphyllum,AM
Anthurium_pittieri,AM
Anthurium_protensum_subsp._arcuatum,AM
Anthyllis_,NM
Anthyllis_cytisoides,AM
Anthyllis_hermanniae,AM
Anthyllis_maritima,AM
Anthyllis_variegata,AM
Anthyllis_vulneraria_subpolyphylla,AM
Antiaris_toxicaria_subwelwitschii,AM
Antidesma_acidum,AM
Antidesma_bunius,AM
Antidesma_erostre_,AM
Antidesma_ghaesembilla,AM
Antidesma_japonicum,AM
Antidesma_laciniatum,AM
Antidesma_maclurei,AM
Antidesma_montanum,AM
Antidesma_pyrifolium,AM
Antidesma_venosum,AM
Antidesma_vogelianum,AM
Antirhea_chinensis,AM
Antrocaryon_klaineanum,AM
Antrocaryon_nannanii,AM
Antrophyum_henryi,AM
Antrophyum_lanceolatum,NM
Antrophyum_plantagineum,AM
Aoranthe_cladantha,AM
Apalochlamys_spectabilis,AM
Aparisthmium_cordatum,AM
Apartea_,AM
Apeiba_petoumo,AM
Apera_spica-venti,AM
Aphanamixis_polystachya,AM
Aphanes_arvensis,AM
Aphanocalyx,EM
Aphanocalyx_cynometroides,EM
Aphanocalyx_margininervatus,EM
Aphanocalyx_microphyllus,EM
Aphanocalyx_microphyllus_submicrophyllus,EM
Aphloia_theaeformis,AM
Aphragmus_eschscholtzianus,NM
Aphragmus_oxycarpus,NM
Aphyllorchis,ORC
Aphyllorchis_alpina,ORC
Aphyllorchis_anomala,ORC
Aphyllorchis_caudata,ORC
Aphyllorchis_montana,ORC
Aphyllorchis_pallida,ORC
Aphyllorchis_queenslandica,ORC
Aphyllorchis_simplex,ORC
Apios_fortunei,AM
Apium_graveolens,AM
Apium_nodiflorum,NM
Apocopis_courtallumensis,AM
Apocopis_mangalorensis,AM
Apocynum_androsaemifolium,AM
Apocynum_cannabinum,AM
Apocynum_medium,AM
Apocynum_venetum,AM
Apodytes_brachystylis,AM
Aponogeton_distachyos,NM
Aporosa_cardiosperma,AM
Aporrhiza_,AM
Aporusa,AM
Aporusa_,AM
Aporusa_frutescens,NM
Aporusa_x_dioica,AM
Aporusa_x_yunnanensis,AM
Apostasia_odorata,AM
Apteria_aphylla,AM
Apuleia_leiocarpa,AM
Aquilaria_crassna,AM
Aquilaria_malaccensis,AM
Aquilaria_sinensis,AM
Aquilegia,AM
Aquilegia_atrovinosa,AM
Aquilegia_brevicalcarata,AM
Aquilegia_canadensis,AM
Aquilegia_glandulosa,AM
Aquilegia_olympica,AM
Aquilegia_vicaria,AM
Aquilegia_vulgaris,AM
Arabidopsis_arenosa,AM
Arabidopsis_lyrata,NM
Arabis_aculeolata,NM
Arabis_amplexicaulis,NM
Arabis_blepharophylla,NM
Arabis_caucasica,NM
Arabis_crucisetosa,AM
Arabis_flagellosa,NM
Arabis_furcata,NM
Arabis_georgiana,NM
Arabis_gerardii,NM
Arabis_hirsuta_,NM
Arabis_microsperma,NM
Arabis_nova,NM
Arabis_serrata,NM
Arabis_tibetica,NM
Arabis_turrita,NM
Arabis_verna,NM
Arabis_X_divaricarpa,NM
Arachis_hypogaea,AM
Arachniodes_amabilis,AM
Arachniodes_aristata,AM
Arachniodes_exilis,NM
Arachniodes_globisora,AM
Arachniodes_sporadosora,AM
Arachnitis_uniflora,AM
Araiostegia_perdurans,AM
Aralia,AM
Aralia_cordata,AM
Aralia_echinocaulis,EM
Aralia_nudicaulis,AM
Araliopsis_soyauxii,AM
Araucaria_angustifolia,AM
Araucaria_bidwillii,AM
Araucaria_columnaris,AM
Araucaria_cunninghamii,AM
Araucaria_heterophylla,AM
Araucaria_hunsteinii,AM
Araucaria_montana,AM
Arbutus_menziesii,EM
Archangiopteris_bipinnata,AM
Archangiopteris_henryi,AM
Archangiopteris_hokouensis,AM
Archangiopteris_subrotundata,AM
Archidendron_,AM
Archidendron_clypearia_subclypearia,AM
Archidendron_kanisii,AM
Archidendron_lucidum,AM
Archidendron_whitei,AM
Arcterica_nana,AM
Arctium_minus,AM
Arctium_nemorosum,AM
Arctophila_fulva,AM
Arctostaphylos,EM
Arctostaphylos_canescens,EM
Arctostaphylos_columbiana,EM
Arctostaphylos_glandulosa,EM
Arctostaphylos_manzanita,EM
Arctostaphylos_nevadensis,EM
Arctostaphylos_nummularia,EM
Arctostaphylos_patula,EM
Arctostaphylos_pungens,EM
Arctostaphylos_viscida,EM
Arctotheca_calendula,AM
Arctotis_leptorhiza,AM
Ardisia_crenata,AM
Ardisia_crispa,AM
Ardisia_japonica,AM
Ardisia_thyrsiflora,AM
Arenaria_douglasii,AM
Arenaria_rotundifolia,AM
Arenaria_serpyllifolia_submarschlinsii,AM
Arenaria_tetraquetra,NM
Arenga_engleri,AM
Argania_spinosa,AM
Argemone_hispida,AM
Argemone_ochroleuca,NM
Argemone_subfusiformis,NM
Argentipallium_blandowskianum,EM
Argentipallium_dealbatum,EM
Argusia_argentea,AM
Argusia_sogdiana,NM
Argyreia_populifolia,NM
Argyrochosma_nivea,AM
Argyrodendron_trifoliolatum,AM
Arillastrum_gummiferum,EM
Arisaema_flavum,AM
Arisaema_ringens,AM
Aristea_dichotoma,AM
Aristida_adscensionis,AM
Aristida_contorta,AM
Aristida_funiculata,AM
Aristida_holathera,NM
Aristida_hystricula,AM
Aristida_hystrix,AM
Aristida_longiseta,AM
Aristida_mutabilis,AM
Aristida_oligantha,AM
Aristida_purpurascens,AM
Aristida_purpurea,AM
Aristida_stricta,NM
Aristida_virgata,AM
Aristolochia_debilis,AM
Aristolochia_kaempferi,AM
Aristolochia_mollissima,AM
Aristotelia_chilensis,AM
Aristotelia_serrata,AM
Armenoprunus_dasycarpa,AM
Armeria_canescens,NM
Armeria_maritima,AM
Armeria_maritima_subhalleri,AM
Armeria_scabra,NM
Arnebia,AM
Arnebia_decumbens,AM
Arnica_angustifolia,AM
Arnica_cordifolia,AM
Arnica_fulgens,AM
Arnica_montana,AM
Arnica_stricta_subalpina,AM
Arnica_unalaschcensis,AM
Aronia_arbutifolia,AM
Aronia_melanocarpa,AM
Artabotrys_hexapetalus,NA
Artemisia,AM
Artemisia_abrotanum,AM
Artemisia_absinthium,AM
Artemisia_alpina,AM
Artemisia_anethifolia,AM
Artemisia_annua,AM
Artemisia_aralensis,AM
Artemisia_argyi,AM
Artemisia_armeniaca,AM
Artemisia_austriaca,AM
Artemisia_californica,AM
Artemisia_campestris_subinodora,AM
Artemisia_campestris_subvariabilis,AM
Artemisia_campestris_var._borealis,AM
Artemisia_cana,AM
Artemisia_capillaris,AM
Artemisia_cina,AM
Artemisia_codonocephala,AM
Artemisia_desertorum,AM
Artemisia_dracunculus,AM
Artemisia_dubia_var._asiatica,AM
Artemisia_feddei,AM
Artemisia_ferganensis,AM
Artemisia_glauca,AM
Artemisia_gmelinii,AM
Artemisia_gracilescens,AM
Artemisia_herba-alba,AM
Artemisia_lactiflora,AM
Artemisia_latifolia,AM
Artemisia_lavandulaefolia,AM
Artemisia_leucodes,AM
Artemisia_ludoviciana,AM
Artemisia_mongolica,AM
Artemisia_nilagirica,AM
Artemisia_nitrosa,AM
Artemisia_ordosica,AM
Artemisia_pauciflora,AM
Artemisia_pontica,AM
Artemisia_princeps,AM
Artemisia_quinqueloba,AM
Artemisia_roxburghiana,AM
Artemisia_rupestris,AM
Artemisia_scopulorum,NM
Artemisia_scopulorum_,AM
Artemisia_sericea,AM
Artemisia_sieversiana,AM
Artemisia_songarica,AM
Artemisia_sphaerocephala,AM
Artemisia_tilesii,AM
Artemisia_tomentella,AM
Artemisia_transiliensis,AM
Artemisia_tridentata,AM
Artemisia_tridentata_swyomingensis,AM
Artemisia_umbelliformis,AM
Artemisia_verlotorum,AM
Artemisia_vulgaris,AM
Artemisia_vulgaris_,AM
Arthraxon_hispidus,AM
Arthraxon_lanceolatus,AM
Arthrocnemum_macrostachyum,NM
Arthromeris_mairei,AM
Arthrophytum_pulvinatum,NM
Arthropodium_milleflorum,AM
Arthropteris_palisotii,AM
Arthropteris_tenella,AM
Arthrostylis_aphylla,NM
Artocarpus,AM
Artocarpus_altilis,AM
Artocarpus_anisophyllus,AM
Artocarpus_chama,AM
Artocarpus_hypargyreus,AM
Artocarpus_integer,AM
Artocarpus_nanchuanensis,AM
Artocarpus_nitidus,AM
Artocarpus_nobilis,AM
Arum_italicum,AM
Arum_italicum_subalbispathum,AM
Arum_italicum_subneglectum,AM
Arum_maculatum,AM
Arum_maculatum_,AM
Aruncus_dioicus,AM
Arundina_graminifolia,NM
Arundinella_cannanorica,AM
Arundinella_hirta,AM
Arundinella_mesophylla,AM
Arundinella_purpurea,AM
Arundo_donax,AM
Asarum,AM
Asarum_canadense,AM
Asarum_caulescens,AM
Asarum_hexalobum,AM
Asarum_nipponicum,AM
Asarum_sieboldii,AM
Ascarina_lucida,AM
Asclepias_incarnata,AM
Asclepias_mellodora,AM
Asclepias_syriaca,AM
Asclepias_tuberosa,AM
Aspalathus_albens,AM
Aspalathus_cordata,AM
Aspalathus_divaricata,NM
Aspalathus_flexuosa,AM
Aspalathus_linearis,AM
Aspalathus_spinescens,AM
Aspalathus_ternata,AM
Asparagus,AM
Asparagus_acutifolius,AM
Asparagus_aethiopicus,AM
Asparagus_africanus,AM
Asparagus_asparagoides,AM
Asparagus_breslerianus,AM
Asparagus_capensis,AM
Asparagus_cochinchinensis,AM
Asparagus_exuvialis,AM
Asparagus_gobicus,AM
Asparagus_inderiensis,AM
Asparagus_officinalis,AM
Asparagus_racemosus,AM
Asparagus_setaceus,AM
Aspera_,AM
Asperula_cynanchica,AM
Asperula_danilewskiana,NM
Asperula_glomerata_subpamirica,AM
Asperula_prostrata,NM
Asphodelus_aestivus,NM
Asphodelus_fistulosus,AM
Asphodelus_ramosus,AM
Aspidistra_elatior,AM
Aspidosperma,AM
Aspidosperma_carapanauba,AM
Aspidosperma_oblongum,AM
Aspidosperma_spruceanum,AM
Aspidostemon_,AM
Aspilia,AM
Asplenium,NM
Asplenium_,NM
Asplenium_achilleifolium,NM
Asplenium_anomodum,AM
Asplenium_antrophyoides,AM
Asplenium_auriculatum,NM
Asplenium_bulbiferum,AM
Asplenium_cheilosorum,AM
Asplenium_cordatum,NM
Asplenium_cuspidatum,NM
Asplenium_dareoides,AM
Asplenium_davallioides,AM
Asplenium_delavayi,AM
Asplenium_erectum,AM
Asplenium_finlaysonianum,AM
Asplenium_flabellatum,NM
Asplenium_flabellifolium,AM
Asplenium_flaccidum,AM
Asplenium_fuscipes,AM
Asplenium_griffithianum,AM
Asplenium_harpeodes,NM
Asplenium_hookerianum,AM
Asplenium_inaequilaterale,AM
Asplenium_incisum,AM
Asplenium_laetum,AM
Asplenium_lucidum,AM
Asplenium_lushanense,AM
Asplenium_miradorense,NM
Asplenium_monanthes,AM
Asplenium_nidus,AM
Asplenium_normale,AM
Asplenium_obtusatum,AM
Asplenium_onopteris,NM
Asplenium_pekinense,AM
Asplenium_polyodon,AM
Asplenium_richardii,AM
Asplenium_rutaceum,NM
Asplenium_scolopendrium,AM
Asplenium_serra,NM
Asplenium_simonsianum,AM
Asplenium_stoloniferum,NM
Asplenium_tenuicaule,AM
Asplenium_tenuifolium,AM
Asplenium_varians,AM
Asplenium_viride,AM
Asplenium_wrightioides,AM
Asplenium_yoshinagae,AM
Asplenium_yunnanense,AM
Asplundia_gardneri,NM
Astelia_menziesiana,AM
Astelia_nervosa,AM
Asteliaceae_,AM
Aster,AM
Aster_,AM
Aster_alpinus,AM
Aster_engelmannii,NM
Aster_fastigiatus,AM
Aster_molliusculus,AM
Aster_pauciflorus,AM
Aster_sibiricus,AM
Aster_sp,AM
Aster_spathulifolius,AM
Aster_subulatus,AM
Aster_tataricus,AM
Asteraceae_aff._Vernonia,AM
Asteridea_athrixioides,EM
Asteridea_pulverulenta,EM
Asteromyrtus_magnifica,AM
Asteromyrtus_symphyocarpa,AM
Asteropeia,EM
Asteropeia_multiflora,AM
Astracantha_aurea,AM
Astracantha_parrowiana,AM
Astragalus,AM
Astragalus_adsurgens,AM
Astragalus_alatavicus,AM
Astragalus_alopecias,AM
Astragalus_applegatei,AM
Astragalus_arpilobus,AM
Astragalus_arpilobus_subdrobovii,AM
Astragalus_bisulcatus,AM
Astragalus_bornmuellerianus,AM
Astragalus_brachypus,AM
Astragalus_captiosus,AM
Astragalus_chlorostachys,AM
Astragalus_contortuplicatus,AM
Astragalus_crassicarpus,AM
Astragalus_didymocarpus_var._dispermus,AM
Astragalus_diversifolius,AM
Astragalus_drummondii,AM
Astragalus_filicaulis,AM
Astragalus_flexus,AM
Astragalus_frigidus,NA
Astragalus_gambelianus,AM
Astragalus_graveolens,AM
Astragalus_jagnobicus,AM
Astragalus_lasioglottis,AM
Astragalus_lasiosemius,AM
Astragalus_lehmannianus,NM
Astragalus_levieri,AM
Astragalus_lithophilus,AM
Astragalus_macrostachys,AM
Astragalus_onobrychis,AM
Astragalus_oxyglottis,AM
Astragalus_parryi,NM
Astragalus_paucijugus,AM
Astragalus_pectinatus,AM
Astragalus_peduncularis,AM
Astragalus_platyphyllus,AM
Astragalus_psilacanthus,AM
Astragalus_psilocentros,NM
Astragalus_purshii,AM
Astragalus_saralensis,AM
Astragalus_scaberrimus,AM
Astragalus_scorpiurus,AM
Astragalus_sinicus,AM
Astragalus_stalinskyi,AM
Astragalus_striatus,AM
Astragalus_suberosus,AM
Astragalus_supinus,NM
Astragalus_testiculatus,AM
Astragalus_tribuloides,AM
Astragalus_turcomanicus,NM
Astragalus_turczaninowii,AM
Astragalus_umbellatus,AM
Astragalus_varius,AM
Astragalus_villosissimus,AM
Astragalus_vulpinus,AM
Astrantia_maxima,AM
Astrantia_ossica,AM
Astrebla_lappacea,AM
Astrocaryum_jauari,AM
Astrocaryum_mexicanum,AM
Astrodaucus_orientalis,NM
Astroloma_conostephioides,EM
Astroloma_pinifolium,EM
Astroloma_xerophyllum,EM
Astronium_graveolens,AM
Astrotrichilia_elliotii,AM
Asyneuma_argutum,AM
Asyneuma_campanuloides,AM
Asyneuma_canescens,AM
Asyneuma_japonicum,AM
Asystasia_macrophylla,AM
Atalantia_monophylla,NA
Atamisquea_emarginata,AM
Athanasia_trifurcata,AM
Athyriopsis_longipes,AM
Athyrium_anisopterum,AM
Athyrium_arisanense,AM
Athyrium_atkinsonii,AM
Athyrium_delicatulum,AM
Athyrium_dissitifolium,AM
Athyrium_dolosum,AM
Athyrium_drepanopterum,AM
Athyrium_latifolium,AM
Athyrium_mackinnoni,AM
Athyrium_schimperi,AM
Athyrium_sp,AM
Athyrium_strigillosum,AM
Atractocarpus_benthamianus,AM
Atractocarpus_fitzalanii,NM
Atractylodes_lancea,AM
Atraphaxis_pyrifolia,NM
Atraphaxis_spinosa,NM
Atriplex_argentea,NM
Atriplex_argentina,NM
Atriplex_barclayana,AM
Atriplex_cana,NM
Atriplex_canescens,AM
Atriplex_confertifolia,NM
Atriplex_deserticola,AM
Atriplex_gardneri,AM
Atriplex_glabriuscula,NM
Atriplex_griffithii,AM
Atriplex_hortensis,NM
Atriplex_julacea,AM
Atriplex_lampa,AM
Atriplex_limbata,NM
Atriplex_lindleyi,NM
Atriplex_lithophila,NM
Atriplex_nummularia,NM
Atriplex_patula,AM
Atriplex_polycarpa,AM
Atriplex_prostrata,NM
Atriplex_prostrata_,NM
Atriplex_prostrata_subcalotheca,AM
Atriplex_quixadensis,AM
Atriplex_repanda,AM
Atriplex_rosea,NM
Atriplex_sibirica,AM
Atriplex_spegazzinii,NM
Atriplex_stipitata,NM
Atriplex_subcordata,NM
Atriplex_tatarica,NM
Atriplex_verrucifera,AM
Atriplex_vesicaria,AM
Atropa_bella-donna,AM
Atropa_belladonna,AM
Atuna_racemosa_subexcelsa,AM
Atylosia,AM
Atylosia_mollis,AM
Aubrieta_canescens,AM
Aubrieta_columnae,NM
Aubrieta_deltoidea,AM
Aucuba_japonica,AM
Aulacocalyx_caudata,AM
Aulacocalyx_jasminiflora,AM
Aulacocalyx_talbotii,AM
Aurinia_saxatilis,NM
Aurinia_saxatilis_suborientalis,NM
Austrobaileya_scandens_,AM
Austrocedrus_chilensis,AM
Austrodolichos_errabundus,AM
Austrolycopodium_fastigiatum,AM
Autranella_congolensis,AM
Avena_barbata,AM
Avena_chinensis,AM
Avena_fatua,AM
Avena_nuda,AM
Avena_strigosa,AM
Avenula,AM
Averrhoa_carambola,AM
Axonopus_,AM
Axonopus_anceps,AM
Axonopus_compressus,AM
Axonopus_flabelliformis,AM
Azadirachta_excelsa,AM
Azalea_nudiflora,AM
Azara_integrifolia,EM
Azara_microphylla,AM
Azima_tetracantha,NA
Azolla_filiculoides,NM
Azolla_imbricata,NM
Azolla_japonica,NM
Azorella_macquariensis,AM
Azorella_madreporica,AM
Azorella_selago,AM
Azorella_trifurcata,AM
Babiana_ambigua,NM
Babiana_nana,NM
Babiana_tubulosa,AM
Babingtonia_behrii,AM
Baccaurea,AM
Baccaurea_pyriformis,AM
Baccaurea_racemosa,AM
Baccaurea_ramiflora,AM
Baccaurea_tetrandra,AM
Baccharis,EM
Baccharis_,AM
Baccharis_aliena,AM
Baccharis_articulata,AM
Baccharis_halimifolia,AM
Baccharis_magellanica,AM
Baccharis_nivalis,AM
Baccharis_racemosa,AM
Bactris_gasipaes,AM
Bactris_rhaphidacantha,AM
Baeckea_crassifolia,AM
Baikiaea_plurijuga,AM
Baillonella_toxisperma,AM
Balakata_baccata,AM
Balanites_aegyptiaca,AM
Baldellia_ranunculoides,AM
Balduina_angustifolia,AM
Ballota,AM
Ballota_africana,AM
Ballota_undulata,AM
Baloghia_inophylla,NM
Balsamorhiza_sagittata,AM
Bambusa_arnhemica,AM
Bambusa_balcooa,AM
Bambusa_bambos,AM
Bambusa_beecheyana,AM
Bambusa_cacharensis,AM
Bambusa_chungii,AM
Bambusa_emeiensis,AM
Bambusa_multiplex,AM
Bambusa_polymorpha,AM
Bambusa_rutila,AM
Bambusa_textilis,AM
Bambusa_tulda,AM
Bambusa_tuldoides,AM
Banisteriopsis_schizoptera,AM
Banksia_attenuata,NM
Banksia_dentata,NM
Banksia_ericifolia,AM
Banksia_grandis,NM
Banksia_menziesii,NM
Banksia_sphaerocarpa,NM
Baphia_,AM
Baphia_bequaertii,AM
Baphia_capparidifolia,EM
Baphia_laurifolia,AM
Baphia_nitida,AM
Baptisia_alba,AM
Baptisia_lactea,AM
Barbarea_brachycarpa_subminor,NM
Barbarea_intermedia,NM
Barbarea_orthoceras,NM
Barbarea_stricta,NM
Barbarea_verna,NM
Barleria,AM
Barleria_cuspidata,AM
Barleria_lupulina,AM
Barleria_noctiflora,AM
Barleria_prionitis,AM
Barnardia_japonica,AM
